EMP ID,NAME,DEPARTMENT,MONTH,ATTENDANCE,STATUS,LEAVE TYPE,KPI SCORE,SATISFACTION
EMP-1001,Employee 1,Customer Support,April,71%,Reserved,Vacation,69 / 100,2 ★
EMP-1002,Employee 2,Marketing,November,90%,In Stock,Casual Leave,89 / 100,5 ★
EMP-1003,Employee 3,Marketing,September,82%,Reserved,None,72 / 100,3 ★
EMP-1004,Employee 4,Finance,September,86%,In Stock,None,90 / 100,5 ★
EMP-1005,Employee 5,Marketing,December,88%,In Stock,Sick Leave,82 / 100,5 ★
EMP-1006,Employee 6,Administration,January,70%,Reserved,Vacation,76 / 100,3 ★
EMP-1007,Employee 7,R&D,April,91%,Reserved,None,92 / 100,4 ★
EMP-1008,Employee 8,Procurement,September,74%,Reserved,Special Leave,80 / 100,3 ★
EMP-1009,Employee 9,Sales,July,80%,In Stock,Casual Leave,86 / 100,5 ★
EMP-1010,Employee 10,Marketing,February,95%,Reserved,Casual Leave,94 / 100,4 ★
EMP-1011,Employee 11,Marketing,August,96%,In Stock,None,97 / 100,5 ★
EMP-1012,Employee 12,Marketing,July,86%,In Stock,None,85 / 100,3 ★
EMP-1013,Employee 13,Customer Support,September,79%,On Leave,Special Leave,78 / 100,4 ★
EMP-1014,Employee 14,Engineering,February,89%,Reserved,Sick Leave,75 / 100,3 ★
EMP-1015,Employee 15,Procurement,March,84%,In Stock,Casual Leave,73 / 100,4 ★
EMP-1016,Employee 16,Customer Support,June,72%,Reserved,Vacation,63 / 100,4 ★
EMP-1017,Employee 17,Legal,September,100%,In Stock,None,98 / 100,5 ★
EMP-1018,Employee 18,R&D,June,95%,In Stock,Casual Leave,95 / 100,5 ★
EMP-1019,Employee 19,Legal,October,80%,In Stock,Casual Leave,81 / 100,4 ★
EMP-1020,Employee 20,Customer Support,March,70%,On Leave,Sick Leave,66 / 100,3 ★
EMP-1021,Employee 21,Administration,April,97%,In Stock,None,96 / 100,5 ★
EMP-1022,Employee 22,Sales,December,77%,On Leave,Special Leave,79 / 100,3 ★
EMP-1023,Employee 23,Procurement,September,79%,Reserved,Sick Leave,78 / 100,2 ★
EMP-1024,Employee 24,Customer Support,March,92%,In Stock,Casual Leave,83 / 100,5 ★
EMP-1025,Employee 25,Legal,September,85%,Reserved,None,77 / 100,4 ★
EMP-1026,Employee 26,Marketing,November,78%,Reserved,Vacation,78 / 100,2 ★
EMP-1027,Employee 27,HR,June,77%,Reserved,Special Leave,69 / 100,4 ★
EMP-1028,Employee 28,Administration,November,78%,On Leave,Special Leave,75 / 100,4 ★
EMP-1029,Employee 29,Sales,January,99%,In Stock,None,95 / 100,5 ★
EMP-1030,Employee 30,Legal,June,77%,On Leave,Special Leave,75 / 100,3 ★
EMP-1031,Employee 31,Operations,February,70%,Reserved,Vacation,80 / 100,4 ★
EMP-1032,Employee 32,HR,August,100%,In Stock,None,91 / 100,5 ★
EMP-1033,Employee 33,Operations,January,83%,In Stock,None,89 / 100,3 ★
EMP-1034,Employee 34,Marketing,August,79%,Reserved,Vacation,62 / 100,3 ★
EMP-1035,Employee 35,R&D,June,100%,In Stock,None,94 / 100,5 ★
EMP-1036,Employee 36,R&D,November,79%,Reserved,Vacation,73 / 100,2 ★
EMP-1037,Employee 37,Procurement,October,96%,In Stock,None,91 / 100,5 ★
EMP-1038,Employee 38,Customer Support,March,85%,Reserved,None,74 / 100,3 ★
EMP-1039,Employee 39,Customer Support,September,98%,In Stock,None,98 / 100,5 ★
EMP-1040,Employee 40,Marketing,March,74%,On Leave,Vacation,64 / 100,2 ★
EMP-1041,Employee 41,Marketing,July,70%,On Leave,Special Leave,60 / 100,4 ★
EMP-1042,Employee 42,Administration,February,73%,Reserved,Sick Leave,64 / 100,3 ★
EMP-1043,Employee 43,Administration,February,79%,On Leave,Vacation,60 / 100,4 ★
EMP-1044,Employee 44,Legal,May,92%,In Stock,Casual Leave,90 / 100,4 ★
EMP-1045,Employee 45,HR,June,76%,On Leave,Vacation,73 / 100,4 ★
EMP-1046,Employee 46,Administration,May,76%,Reserved,Vacation,80 / 100,3 ★
EMP-1047,Employee 47,Customer Support,October,74%,On Leave,Vacation,67 / 100,2 ★
EMP-1048,Employee 48,R&D,July,92%,In Stock,Casual Leave,84 / 100,5 ★
EMP-1049,Employee 49,Administration,November,85%,In Stock,Casual Leave,75 / 100,4 ★
EMP-1050,Employee 50,Procurement,October,89%,In Stock,None,78 / 100,4 ★
EMP-1051,Employee 51,Customer Support,August,76%,On Leave,Special Leave,60 / 100,3 ★
EMP-1052,Employee 52,Engineering,June,89%,Reserved,Casual Leave,83 / 100,3 ★
EMP-1053,Employee 53,HR,January,73%,Reserved,Vacation,64 / 100,4 ★
EMP-1054,Employee 54,Administration,May,81%,Reserved,Casual Leave,75 / 100,5 ★
EMP-1055,Employee 55,Engineering,December,89%,In Stock,None,88 / 100,5 ★
EMP-1056,Employee 56,IT,May,84%,In Stock,Sick Leave,78 / 100,4 ★
EMP-1057,Employee 57,Procurement,November,89%,Reserved,Sick Leave,77 / 100,4 ★
EMP-1058,Employee 58,R&D,March,81%,In Stock,None,86 / 100,3 ★
EMP-1059,Employee 59,Operations,January,81%,Reserved,Sick Leave,89 / 100,4 ★
EMP-1060,Employee 60,R&D,July,81%,Reserved,None,89 / 100,5 ★
EMP-1061,Employee 61,Operations,February,78%,On Leave,Sick Leave,60 / 100,4 ★
EMP-1062,Employee 62,Marketing,February,91%,Reserved,Casual Leave,95 / 100,5 ★
EMP-1063,Employee 63,Marketing,February,70%,Reserved,Vacation,70 / 100,3 ★
EMP-1064,Employee 64,Customer Support,December,97%,In Stock,None,92 / 100,5 ★
EMP-1065,Employee 65,IT,June,86%,Reserved,None,74 / 100,5 ★
EMP-1066,Employee 66,Engineering,May,96%,In Stock,None,98 / 100,5 ★
EMP-1067,Employee 67,Customer Support,May,73%,Reserved,Sick Leave,71 / 100,2 ★
EMP-1068,Employee 68,IT,December,81%,In Stock,Casual Leave,72 / 100,3 ★
EMP-1069,Employee 69,HR,April,89%,Reserved,Sick Leave,72 / 100,4 ★
EMP-1070,Employee 70,IT,March,98%,In Stock,None,93 / 100,5 ★
EMP-1071,Employee 71,Operations,March,81%,In Stock,Casual Leave,80 / 100,5 ★
EMP-1072,Employee 72,IT,April,100%,In Stock,None,96 / 100,5 ★
EMP-1073,Employee 73,Finance,March,92%,Reserved,Casual Leave,93 / 100,4 ★
EMP-1074,Employee 74,Marketing,November,95%,In Stock,Casual Leave,87 / 100,4 ★
EMP-1075,Employee 75,R&D,May,95%,In Stock,Casual Leave,86 / 100,5 ★
EMP-1076,Employee 76,Sales,October,83%,Reserved,None,79 / 100,4 ★
EMP-1077,Employee 77,Marketing,January,93%,In Stock,None,85 / 100,5 ★
EMP-1078,Employee 78,Sales,May,84%,Reserved,Sick Leave,80 / 100,3 ★
EMP-1079,Employee 79,Engineering,October,73%,On Leave,Sick Leave,76 / 100,2 ★
EMP-1080,Employee 80,HR,September,85%,Reserved,Sick Leave,76 / 100,3 ★
EMP-1081,Employee 81,Sales,September,71%,On Leave,Sick Leave,60 / 100,4 ★
EMP-1082,Employee 82,Engineering,April,76%,Reserved,Sick Leave,79 / 100,4 ★
EMP-1083,Employee 83,Engineering,February,72%,Reserved,Special Leave,77 / 100,4 ★
EMP-1084,Employee 84,Customer Support,October,80%,In Stock,None,83 / 100,3 ★
EMP-1085,Employee 85,Finance,June,89%,In Stock,None,86 / 100,3 ★
EMP-1086,Employee 86,Legal,September,72%,On Leave,Sick Leave,72 / 100,4 ★
EMP-1087,Employee 87,Legal,February,88%,Reserved,None,70 / 100,4 ★
EMP-1088,Employee 88,Engineering,July,94%,Reserved,Casual Leave,83 / 100,5 ★
EMP-1089,Employee 89,Procurement,February,100%,In Stock,None,96 / 100,5 ★
EMP-1090,Employee 90,HR,December,75%,Reserved,Sick Leave,75 / 100,2 ★
EMP-1091,Employee 91,Marketing,October,99%,In Stock,None,90 / 100,5 ★
EMP-1092,Employee 92,Finance,February,99%,In Stock,None,90 / 100,5 ★
EMP-1093,Employee 93,Customer Support,April,86%,In Stock,Sick Leave,77 / 100,5 ★
EMP-1094,Employee 94,Finance,May,74%,On Leave,Sick Leave,74 / 100,4 ★
EMP-1095,Employee 95,R&D,July,90%,In Stock,Casual Leave,93 / 100,5 ★
EMP-1096,Employee 96,R&D,May,78%,On Leave,Sick Leave,73 / 100,3 ★
EMP-1097,Employee 97,Legal,August,73%,On Leave,Special Leave,76 / 100,2 ★
EMP-1098,Employee 98,Legal,December,75%,Reserved,Sick Leave,79 / 100,2 ★
EMP-1099,Employee 99,R&D,September,72%,Reserved,Sick Leave,79 / 100,3 ★
EMP-1100,Employee 100,HR,May,86%,In Stock,Casual Leave,70 / 100,3 ★
EMP-1101,Employee 101,Procurement,August,88%,In Stock,None,89 / 100,3 ★
EMP-1102,Employee 102,R&D,August,84%,In Stock,Casual Leave,84 / 100,3 ★
EMP-1103,Employee 103,Engineering,April,97%,In Stock,None,97 / 100,5 ★
EMP-1104,Employee 104,HR,December,88%,Reserved,Sick Leave,73 / 100,4 ★
EMP-1105,Employee 105,R&D,January,87%,Reserved,None,79 / 100,3 ★
EMP-1106,Employee 106,IT,February,72%,On Leave,Vacation,80 / 100,4 ★
EMP-1107,Employee 107,Legal,September,100%,In Stock,None,95 / 100,5 ★
EMP-1108,Employee 108,Procurement,May,85%,Reserved,None,87 / 100,5 ★
EMP-1109,Employee 109,HR,May,88%,In Stock,Sick Leave,73 / 100,5 ★
EMP-1110,Employee 110,Procurement,October,98%,In Stock,None,94 / 100,5 ★
EMP-1111,Employee 111,Administration,May,73%,On Leave,Special Leave,79 / 100,2 ★
EMP-1112,Employee 112,Legal,November,93%,Reserved,None,94 / 100,4 ★
EMP-1113,Employee 113,Finance,December,74%,On Leave,Sick Leave,63 / 100,2 ★
EMP-1114,Employee 114,Engineering,March,78%,On Leave,Special Leave,67 / 100,2 ★
EMP-1115,Employee 115,Operations,December,72%,Reserved,Special Leave,66 / 100,3 ★
EMP-1116,Employee 116,Customer Support,April,90%,In Stock,Casual Leave,88 / 100,5 ★
EMP-1117,Employee 117,Procurement,October,98%,In Stock,None,98 / 100,5 ★
EMP-1118,Employee 118,R&D,April,76%,Reserved,Sick Leave,73 / 100,4 ★
EMP-1119,Employee 119,HR,April,71%,Reserved,Special Leave,72 / 100,4 ★
EMP-1120,Employee 120,Legal,January,99%,In Stock,None,92 / 100,5 ★
EMP-1121,Employee 121,HR,May,83%,In Stock,Sick Leave,76 / 100,4 ★
EMP-1122,Employee 122,Procurement,January,91%,Reserved,Casual Leave,82 / 100,5 ★
EMP-1123,Employee 123,IT,August,82%,In Stock,None,84 / 100,5 ★
EMP-1124,Employee 124,Sales,July,79%,On Leave,Vacation,66 / 100,2 ★
EMP-1125,Employee 125,Legal,August,75%,Reserved,Sick Leave,74 / 100,4 ★
EMP-1126,Employee 126,Marketing,April,98%,In Stock,None,98 / 100,5 ★
EMP-1127,Employee 127,HR,July,97%,In Stock,None,90 / 100,5 ★
EMP-1128,Employee 128,IT,June,73%,Reserved,Vacation,74 / 100,4 ★
EMP-1129,Employee 129,IT,January,95%,Reserved,None,86 / 100,5 ★
EMP-1130,Employee 130,IT,April,81%,In Stock,Casual Leave,84 / 100,4 ★
EMP-1131,Employee 131,Procurement,April,73%,Reserved,Sick Leave,65 / 100,4 ★
EMP-1132,Employee 132,R&D,February,75%,Reserved,Vacation,74 / 100,2 ★
EMP-1133,Employee 133,Administration,February,87%,Reserved,Casual Leave,85 / 100,4 ★
EMP-1134,Employee 134,Finance,May,85%,In Stock,Sick Leave,78 / 100,4 ★
EMP-1135,Employee 135,Finance,September,71%,On Leave,Vacation,62 / 100,3 ★
EMP-1136,Employee 136,Finance,April,92%,Reserved,Casual Leave,95 / 100,4 ★
EMP-1137,Employee 137,Procurement,April,83%,In Stock,Sick Leave,85 / 100,5 ★
EMP-1138,Employee 138,IT,March,81%,In Stock,Sick Leave,89 / 100,4 ★
EMP-1139,Employee 139,Finance,July,73%,Reserved,Special Leave,69 / 100,2 ★
EMP-1140,Employee 140,HR,July,77%,On Leave,Vacation,73 / 100,4 ★
EMP-1141,Employee 141,Procurement,July,80%,Reserved,Sick Leave,73 / 100,3 ★
EMP-1142,Employee 142,Customer Support,September,75%,On Leave,Sick Leave,60 / 100,2 ★
EMP-1143,Employee 143,Operations,January,79%,Reserved,Special Leave,79 / 100,2 ★
EMP-1144,Employee 144,Customer Support,September,73%,On Leave,Vacation,68 / 100,3 ★
EMP-1145,Employee 145,Operations,July,80%,Reserved,None,70 / 100,4 ★
